model,lambda,max_corr,delta_mean,delta_end,delta_min,corr_mean,bmc_mean,payout_mean
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.06,0.9980286889824936,-0.00019574663912925417,-0.03053647570416366,-0.032752036382993205,0.03243797088139319,0.0002707736715355486,0.024741932538143326
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.08,0.996369472552984,-0.0002802995992014257,-0.043726737475422425,-0.04710725016090077,0.03235341792132102,0.0003751441077529884,0.024888784122018993
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.1,0.9941242957074282,-0.00040442413175684655,-0.06309016455406807,-0.06606761081487775,0.03222929338876561,0.00047094486220396425,0.024998267179979668
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.12,0.9912380845565557,-0.0005193478268523568,-0.0810182609889677,-0.08467884381409815,0.03211436969367008,0.0005774423953488433,0.025151819554358832
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.15,0.9855806769535186,-0.0007785479923324285,-0.12145348680385894,-0.12383719638213751,0.03185516952819002,0.0007119352319647506,0.025245703421828438
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.2,0.9721094822133176,-0.0011979967513508823,-0.18688749321073772,-0.1889229730491535,0.03143572076917156,0.0009992642576876723,0.025459659330554604
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.25,0.9527631838546206,-0.001725100202586948,-0.26911563160356383,-0.27062277793907896,0.030908617317935504,0.0012863989701967272,0.02550744474523478
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.3,0.9266526897163906,-0.002369876797936238,-0.3697007804780532,-0.37083937328019256,0.030263840722586213,0.0015891244445470627,0.025484272977686715
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.4,0.8516571003137354,-0.003950500630187336,-0.6162780983092243,-0.6171188562374273,0.028683216890335112,0.002275927963698529,0.025065183302032893
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.5,0.746249654804046,-0.006015919211879523,-0.9384833970532054,-0.938998039617561,0.026617798308642922,0.003014296231754937,0.024182520153230587
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,0.75,0.4103240762001336,-0.013107287250943971,-2.044736811147261,-2.044736811147261,0.019526430269578475,0.004380938427996589,0.020680723063697608
xgb_strict_resid008_medfaith64_full_d5lr3e2_walkfwd,1.0,0.11429127113691422,-0.02331589583811104,-3.6372797507453205,-3.6372797507453205,0.00931782168241141,0.005155079982432238,0.015039702851428905
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.01,0.999955782273314,3.162881465793353e-05,0.00493409508663763,-0.004699425450586946,0.03266534633518038,3.962348845199307e-05,0.024431636212084336
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.02,0.9998208453158336,1.7093332573394825e-06,0.0002666559881449619,-0.00920434957219991,0.03263542685377979,5.608839465402105e-05,0.024429060601288966
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.03,0.9995917197899189,-4.2531618614172545e-05,-0.006634932503810919,-0.013946986086196267,0.03259118590190827,6.533154158604183e-05,0.024407438573880093
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.04,0.9992648813022215,-0.0001008213762649885,-0.015728134697338202,-0.02141319686496715,0.03253289614425746,6.871364778550031e-05,0.024359694420736797
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.05,0.998836754770721,-0.00014562154247269005,-0.022716960625739656,-0.02785421359347867,0.032488095978049754,8.044121913482816e-05,0.024340013811806404
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.06,0.9983037192897714,-0.0002069059016299527,-0.03227732065427262,-0.03567894828080803,0.03242681161889249,8.740321301532848e-05,0.024298074678717623
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.08,0.9969082415620318,-0.0003300431273334017,-0.051486727864010644,-0.051486727864010644,0.03230367439318905,0.0001049570164996996,0.024232408648027996
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.1,0.995048782354144,-0.0004767194371777647,-0.07436823219973127,-0.07436823219973127,0.032156998083344684,0.00012016119888791723,0.024135118747068737
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.12,0.9926953438134675,-0.0006351745657377609,-0.09908723225509071,-0.09908723225509071,0.03199854295478469,0.00012953765133261034,0.02400928345695407
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.15,0.988173382261416,-0.0008956431789627662,-0.13972033591819158,-0.13972033591819158,0.03173807434155968,0.0001448841522801006,0.023800109624939093
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.2,0.9777493266390116,-0.0014054123677420323,-0.2192443293677569,-0.2192443293677569,0.03122830515278041,0.00016690306792625762,0.02335779512281948
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.25,0.9633422338336508,-0.001976379389962261,-0.30831518483411285,-0.30831518483411285,0.030657338130560187,0.00019121145191461692,0.022875673991900384
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.3,0.9445857452166151,-0.0026254683584074254,-0.40957306391155845,-0.40957306391155845,0.03000824916211502,0.00021948389982220573,0.02234501009579205
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.4,0.8931475322630517,-0.004112810548979815,-0.6415984456408512,-0.6415984456408512,0.028520906971542637,0.00030893316069076804,0.021147050661051214
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.5,0.823358428054081,-0.005854198336171437,-0.9132549404427439,-0.9132549404427439,0.02677951918435101,0.0004457139719871988,0.019707700960098353
